PDOid,PDOnam,Administrative_Region,Wine_Region,Designation_Level,min_row_spacing,max_row_spacing,min_plant_spacing,max_plant_spacing,max_area,source,notes
PDO-FR-A0200,Saint-Joseph,Auvergne-Rhône-Alpes,Rhône Valley,Sub-regional,NULL,2.5,NULL,NULL,2.3,https://eur-lex.europa.eu/eli/C/2024/5920/oj,
PDO-FR-A0398,Saint-Péray,Auvergne-Rhône-Alpes,Rhône Valley,Communal,NULL,2.5,NULL,NULL,2.5,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/3713,
PDO-FR-A0328,Tavel,Occitanie,Rhône Valley,Communal Rosé,NULL,2.5,NULL,NULL,2.25,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/40733,
PDO-FR-A0151,Vacqueyras,Provence-Alpes-Côte d'Azur,Rhône Valley,Cru,NULL,2.5,0.85,1.2,2.5,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.C_.2017.206.01.0009.01.ENG&toc=OJ:C:2017:206:TOC,
PDO-FR-A0399,Ventoux,Provence-Alpes-Côte d'Azur,Rhône Valley,Sub-regional,NULL,2.5,0.8,1.5,2.5,https://eur-lex.europa.eu/eli/C/2024/1928/oj,
PDO-FR-A0690,Vinsobres,Auvergne-Rhône-Alpes,Rhône Valley,Cru,NULL,2.5,0.8,1.2,2.5,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.C_.2020.094.01.0027.01.ENG&toc=OJ:C:2020:094:TOC,
PDO-FR-A0174,Bugey,Auvergne-Rhône-Alpes,Savoie & Bugey,Regional,NULL,2.4,0.8,1.3,NULL,19757,
PDO-FR-A0173,Roussette de Savoie,Auvergne-Rhône-Alpes,Savoie & Bugey,Regional,NULL,2.5,0.8,NULL,NULL,EUR-Lex - 52024XC05918 - EN - EUR-Lex,min planting density 5000/hectare
PDO-FR-A0588,Roussette du Bugey,Auvergne-Rhône-Alpes,Savoie & Bugey,Regional,NULL,2.5,0.8,NULL,NULL,25383,
PDO-FR-A0679,Seyssel,Auvergne-Rhône-Alpes,Savoie & Bugey,Communal,NULL,2,0.8,NULL,NULL,31294,min planting density 6000/hectare
PDO-FR-A0681,Vin de Savoie/Savoie,Auvergne-Rhône-Alpes,Savoie & Bugey,Regional,NULL,2.5,0.8,NULL,NULL,10680,No information available
PDO-FR-A0597,Béarn,Nouvelle-Aquitaine,Southwest France,Regional,NULL,2.5,NULL,NULL,NULL,48582,min planting density 4000/hectare
PDO-FR-A0190,Bergerac,Nouvelle-Aquitaine,Southwest France,Regional,NULL,2.5,0.8,NULL,NULL,40927,min planting density 4000/hectare
PDO-FR-A0984,Brulhois,Occitanie,Southwest France,Sub-regional,NULL,2.5,0.9,1.1,NULL,30198,min planting density 4000/hectare
PDO-FR-A0148,Buzet,Nouvelle-Aquitaine,Southwest France,Sub-regional,NULL,2.5,0.9,1.3,NULL,10332,
PDO-FR-A0302,Cahors,Occitanie,Southwest France,Regional,NULL,2.5,0.9,1.3,NULL,10332,
PDO-FR-A0499,Coteaux du Quercy,Occitanie,Southwest France,Sub-regional,NULL,2.5,0.9,1.1,NULL,EUR-Lex - 52025XC06752 - EN - EUR-Lex,min planting density 4000/hectare
PDO-FR-A0191,Côtes de Bergerac,Nouvelle-Aquitaine,Southwest France,Sub-regional,NULL,2.5,0.8,NULL,NULL,40936,min planting density 4000/hectare
PDO-FR-A0165,Côtes de Duras,Nouvelle-Aquitaine,Southwest France,Sub-regional,NULL,2.5,NULL,NULL,2.5,EUR-Lex - 52021XC1203(05) - EN - EUR-Lex,min planting density 4000/hectare
PDO-FR-A0596,Côtes de Millau,Occitanie,Southwest France,Sub-regional,NULL,2.25,0.8,1.25,2.5,10679,
PDO-FR-A0188,Côtes de Montravel,Nouvelle-Aquitaine,Southwest France,Sub-regional Sweet,NULL,2,0.8,NULL,NULL,Implementing decision - 10 July 2018 - EN - EUR-Lex,min planting density 5000/hectare
PDO-FR-A0683,Côtes du Marmandais,Nouvelle-Aquitaine,Southwest France,Sub-regional,NULL,2.5,NULL,NULL,2.5,30337,min planting density 4000/hectare
PDO-FR-A0986,Entraygues-le Fel,Occitanie,Southwest France,Communal,NULL,2,1,NULL,2.5,11341,
PDO-FR-A1000,Estaing,Occitanie,Southwest France,Communal,NULL,2.5,0.8,NULL,NULL,11339,
PDO-FR-A0503,Floc de Gascogne,Nouvelle-Aquitaine,Southwest France,Vin de Liqueur,NULL,NULL,NULL,NULL,NULL,,No information available
PDO-FR-A0595,Fronton,Occitanie,Southwest France,Sub-regional,NULL,2.5,0.8,NULL,NULL,EUR-Lex - 52025XC04351 - EN - EUR-Lex,min planting density 4000/hectare
PDO-FR-A0502,Gaillac,Occitanie,Southwest France,Regional,NULL,2.5,0.8,NULL,NULL,40533,min planting density 4000/hectare
PDO-FR-A0326,Gaillac Premières Côtes,Occitanie,Southwest France,Sub-regional,NULL,2.5,0.8,NULL,NULL,10731,
PDO-FR-A0152,Haut-Montravel,Nouvelle-Aquitaine,Southwest France,Sub-regional Sweet,NULL,2,0.8,NULL,NULL,Implementing decision - 5 January 2018 - EN - EUR-Lex,min planting density 5000/hectare
PDO-FR-A0708,Irouléguy,Nouvelle-Aquitaine,Southwest France,Sub-regional,NULL,2.5,0.9,NULL,NULL,32264,min planting density 4000/hectare
PDO-FR-A0827,Jurançon,Nouvelle-Aquitaine,Southwest France,Regional,NULL,2.8,NULL,NULL,NULL,48573,min planting density 4000/hectare
PDO-FR-A0687,Madiran,Occitanie,Southwest France,Regional,NULL,2.5,0.8,NULL,NULL,48579,min planting density 4000/hectare
PDO-FR-A0818,Marcillac,Occitanie,Southwest France,Regional,NULL,2.5,0.85,1.25,NULL,32287,min planting density 4000/hectare
PDO-FR-A0153,Monbazillac,Nouvelle-Aquitaine,Southwest France,Sub-regional Sweet,NULL,2.5,0.8,NULL,NULL,48592,min planting density 4000/hectare
PDO-FR-A0923,Montravel,Nouvelle-Aquitaine,Southwest France,Regional,NULL,2,0.8,NULL,NULL,Implementing decision - 3 August 2017 - EN - EUR-Lex,min planting density 5000/hectare
PDO-FR-A0593,Pacherenc du Vic-Bilh,Occitanie,Southwest France,Regional,NULL,2.5,0.8,NULL,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/48576,min planting density 4000/hectare
PDO-FR-A0823,Pécharmant,Nouvelle-Aquitaine,Southwest France,Sub-regional,NULL,2.5,0.9,NULL,NULL,49265,min planting density 4000/hectare
PDO-FR-A0163,Rosette,Nouvelle-Aquitaine,Southwest France,Communal Sweet,NULL,2.5,0.9,NULL,NULL,40951,min planting density 4000/hectare
PDO-FR-A0711,Saint-Mont,Occitanie,Southwest France,Sub-regional,NULL,2.5,0.8,1.1,NULL,EUR-Lex - 52021XC0122(02) - EN - EUR-Lex,min planting density 4000/hectare
PDO-FR-A0408,Saint-Sardos,Occitanie,Southwest France,Communal,NULL,2.5,0.9,NULL,NULL,10341,
PDO-FR-A0189,Saussignac,Nouvelle-Aquitaine,Southwest France,Sub-regional Sweet,NULL,NULL,NULL,0.9,2,40963,min planting density 5000/hectare
PDO-FR-A0734,Tursan,Nouvelle-Aquitaine,Southwest France,Sub-regional,NULL,2.5,0.8,1.2,NULL,37252,min planting density 5000/hectare
