IDU,row_spacing,plant_spacing,rmse,points_expected,points_found,area_missing_pct
07056000AC0241,2.4,0.5,0.809,81.0,67.0,17.28
07056000AD0115,1.9,0.6,0.877,674.0,615.0,8.75
07056000AD0133,1.7,0.7,0.977,1020.0,867.0,15.0
07056000AD0136,2.1,0.9,0.854,793.0,679.0,14.38
07056000AD0140,2.1,0.7,1.014,1258.0,997.0,20.75
07056000AD0425,2.1,0.7,0.834,1205.0,1095.0,9.13
07056000AD0430,1.7,0.6,0.98,1514.0,1174.0,22.46
07056000AD0451,2.1,0.8,0.564,172.0,169.0,1.74
07056000AE0210,2.1,0.5,0.815,320.0,281.0,12.19
07056000AE0415,1.9,0.5,0.744,1988.0,1790.0,9.96
070590000A0135,1.8,0.7,0.814,867.0,814.0,6.11
07059000ZA0046,2.4,0.9,1.281,4011.0,1641.0,59.09
07059000ZA0060,2.4,0.6,0.809,3201.0,2987.0,6.69
07059000ZB0079,2.4,0.6,1.022,4203.0,3234.0,23.05
070700000A0130,2.0,0.8,0.904,1725.0,1437.0,16.7
070700000A0148,2.1,0.5,0.787,4756.0,4396.0,7.57
070700000A0152,2.3,0.6,1.143,3834.0,2397.0,37.48
070700000A0279,2.4,0.7,0.64,593.0,582.0,1.85
070700000A0435,2.4,0.7,1.016,3693.0,2857.0,22.64
070700000B0042,1.2,0.6,1.316,9760.0,3200.0,67.21
070700000B0291,2.2,0.9,1.225,922.0,516.0,44.03
070700000B0363,2.4,1.1,1.415,3291.0,648.0,80.31
070700000B0639,2.4,1.9,1.41,824.0,160.0,80.58
070700000B0640,2.5,0.8,1.341,8160.0,2811.0,65.55
070700000B0748,1.9,0.5,1.361,1261.0,317.0,74.86
070700000B0829,2.1,1.2,1.278,2950.0,1429.0,51.56
070700000B0849,2.4,1.9,1.472,481.0,32.0,93.35
070700000B0852,,,,,,
070700000B1092,1.9,1.5,1.131,31.0,21.0,32.26
07070000AC0005,1.8,0.7,1.084,3628.0,2623.0,27.7
07070000AH0007,2.0,0.6,1.321,2326.0,795.0,65.82
07070000AI0452,2.3,1.0,1.391,679.0,172.0,74.67
07070000AK0059,2.5,0.6,1.143,3056.0,1895.0,37.99
07070000AL0019,2.5,0.9,1.228,2279.0,1177.0,48.35
07070000AL0066,2.5,0.5,1.182,2898.0,1736.0,40.1
07070000AL0098,1.4,0.7,0.962,486.0,423.0,12.96
07070000AL0105,2.4,0.5,1.266,993.0,438.0,55.89
07070000AL0108,1.8,0.5,1.418,2142.0,368.0,82.82
07070000AN0065,2.5,1.6,1.492,184.0,4.0,97.83
07070000AO0023,2.0,0.9,1.123,608.0,378.0,37.83
070890000C0145,2.3,1.0,1.058,636.0,430.0,32.39
070890000C0226,1.3,0.7,1.064,651.0,498.0,23.5
070890000C0233,2.4,0.6,0.99,1535.0,1212.0,21.04
070890000C0928,2.4,0.7,0.928,697.0,590.0,15.35
070890000C0940,2.3,0.7,0.941,458.0,366.0,20.09
070890000C0997,2.3,0.7,1.123,666.0,443.0,33.48
070890000C1010,2.5,0.8,1.279,2118.0,977.0,53.87
070890000C1088,2.0,0.9,1.0,352.0,294.0,16.48
070890000C1093,2.4,0.8,0.994,517.0,441.0,14.7
070890000C1098,2.1,0.8,0.933,892.0,761.0,14.69
070890000D0296,1.7,0.6,0.855,714.0,639.0,10.5
070890000D0303,1.9,0.6,0.885,1394.0,1194.0,14.35
070890000D0572,2.1,0.6,0.853,4289.0,3811.0,11.14
070890000D0638,2.2,0.7,0.75,1321.0,1295.0,1.97
070890000D1651,,,,,,
07089000ZA0008,2.1,0.6,0.882,1291.0,1074.0,16.81
07089000ZA0019,2.1,1.2,1.067,3825.0,2870.0,24.97
070970000B0375,2.0,0.5,0.854,1014.0,871.0,14.1
070970000B0393,2.5,0.7,0.829,593.0,516.0,12.98
